occ,n_aus,n_events,duration,fullface_pct,n_subjects,best_status,best_match
12,1,1236,861.16,0.0906387465590515,44,complete,"contentment, happiness"
4,1,506,300.175,0.03159399617767115,42,partial only,sadness
12+25,2,524,285.918,0.030093419502381546,42,complete,happiness
6+12,2,226,202.88,0.021353510267430407,38,complete,happiness
1+2+12,3,275,183.859,0.01935151342793517,39,complete,interest
1+2+5,3,117,75.813,0.007979464086675382,30,complete,"fear, surprise"
6+12+25,3,115,73.181,0.007702441023663371,35,complete,happiness
1+2+25+26,4,168,69.523,0.0073174294870000205,36,complete,surprise
1+2+5+12+25+26,6,83,45.254,0.00476307055225895,26,partial only,awe
1+2+5+25+26,5,66,34.695,0.0036517154905781647,25,complete,"fear, surprise"
4+17,2,62,26.808,0.002821593568854862,27,partial only,shame
19+25+26,3,63,22.498,0.00236795777798033,26,partial only,desire
4+15,2,38,22.159,0.0023322773758674606,18,complete,sadness
1+2+5+25,4,30,16.232,0.0017084492244722515,15,complete,fear
10+25,2,28,13.289,0.001398692813209201,13,complete,disgust
4+7+23,3,3,11.696,0.0012310264988558066,1,complete,anger
10,1,25,11.246,0.0011836631332192546,13,complete,disgust
9+25,2,21,10.093,0.0010623076652660445,11,complete,disgust
9+25+26,3,26,9.171,9.652653916729312e-4,13,complete,disgust
9,1,20,7.646,8.04756208126838e-4,14,complete,disgust
1+4+15,3,14,7.268,7.649709809921343e-4,9,complete,sadness
4+7,2,13,7.068,7.439205962647778e-4,9,complete,"anger, confusion"
10+25+26,3,18,6.3870000000000005,6.722440362681291e-4,12,complete,disgust
7+12,2,7,5.4399999999999995,5.72570464584096e-4,5,partial only,pride
1+15,2,13,4.855,5.109980892565785e-4,9,complete,sadness
1+2+5+25+27,5,8,3.705,3.8995837707427874e-4,4,complete,"fear, surprise"
5+20,2,7,3.536,3.721708019796625e-4,4,complete,fear
1+4+20+25,4,5,3.294,3.4669983645956113e-4,5,complete,fear
1+17+24,3,9,3.227,3.396479575758967e-4,5,partial only,sympathy
4+15+17,3,7,2.173,2.287124300627281e-4,6,complete,sadness
1+2+5+12+25+27,6,3,2.074,2.1829248962268664e-4,2,partial only,awe
4+6+15+17,4,2,2.006,2.1113535881538543e-4,1,complete,sadness
4+5+23,3,4,2.003,2.1081960304447512e-4,3,complete,anger
4+7+24,3,1,1.971,2.0745154148809808e-4,1,complete,anger
4+5+24,3,4,1.9340000000000002,2.0355722031353712e-4,2,complete,anger
12+18+25+26,4,4,1.392,1.4651067770240107e-4,3,partial only,relief
1+15+17,3,5,1.085,1.1419833714590888e-4,5,complete,sadness
1+4+20+25+26,5,2,0.985,1.0367314478223063e-4,2,complete,fear
1+4+15+25+26,5,3,0.882,9.283219664764205e-5,3,complete,sadness
7+12+25+26,4,4,0.815,8.578031776397763e-5,4,complete,desire
12+14,2,2,0.781,8.220175236032704e-5,2,complete,contempt
6+15+25,3,1,0.747,7.862318695667644e-5,1,complete,sadness
10+17,2,1,0.68,7.157130807301202e-5,1,complete,disgust
1+2+4+5+25+26,6,2,0.646,6.799274266936142e-5,2,complete,fear
1+2+4+5+20+25+26,7,2,0.6439999999999999,6.778223882208783e-5,2,complete,fear
1+2+4+5+20,5,2,0.611,6.430892534207404e-5,2,complete,fear
1+4+15+17,4,4,0.611,6.430892534207404e-5,3,complete,sadness
25+27,2,2,0.40800000000000003,4.294278484380721e-5,2,partial only,sympathy
5+20+25+26,4,2,0.408,4.294278484380721e-5,2,complete,fear
10+16+25,3,1,0.34,3.578565403650601e-5,1,complete,disgust
5+20+25,3,2,0.33999999999999997,3.5785654036506e-5,2,complete,fear
1+2+4+20+25,5,2,0.339,3.568040211286923e-5,1,complete,fear
11+15+25,3,2,0.30600000000000005,3.2207088632855414e-5,1,complete,sadness
1+2+4+5+25+27,6,1,0.305,3.210183670921862e-5,1,complete,fear
4+7+17+24,4,1,0.271,2.8523271305568026e-5,1,complete,anger
4+6+15,3,1,0.271,2.8523271305568026e-5,1,complete,sadness
1+2+4+5,4,1,0.237,2.4944705901917422e-5,1,complete,fear
6+7+12+25+26,5,1,0.17,1.7892827018253004e-5,1,complete,"amusement, coyness, happiness, triumph"
1+4+11+25,4,1,0.17,1.7892827018253004e-5,1,complete,sadness
9+10+25+26,4,1,0.136,1.4314261614602405e-5,1,complete,disgust
4+5+17+24,4,1,0.102,1.0735696210951802e-5,1,complete,anger
1+2+5+26,4,1,0.101,1.063044428731502e-5,1,complete,"fear, surprise"
10+16+25+26,4,1,0.067,7.051878883664419e-6,1,complete,disgust
